TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
SELL,0,968.09151583240566,968.09151583240566,0.7643471061267737,0,1266.5600589999999,1266.5600589999999
None,968.09151583240566,968.09151583240566,0.0,0,0,1266.5600589999999,1278.709961
BUY,968.09151583240566,0,0.75721477946996329,0,0.00059227274784526339,1278.709961,1278.48999
None,0,0,0.0,0.75721477946996329,0.75721477946996329,1278.48999,1284.780029
None,0,0,0.0,0.75721477946996329,0.75721477946996329,1284.780029,1275.1800539999999
None,0,0,0.0,0.75721477946996329,0.75721477946996329,1275.1800539999999,1259.719971
None,0,0,0.0,0.75721477946996329,0.75721477946996329,1259.719971,1258.0600589999999
None,0,0,0.0,0.75721477946996329,0.75721477946996329,1258.0600589999999,1242.0500489999999
SELL,0,940.66521923644689,940.66521923644689,0.75721477946996329,0,1242.0500489999999,1242.2700199999999
None,940.66521923644689,940.66521923644689,0.0,0,0,1242.2700199999999,1247.23999
None,940.66521923644689,940.66521923644689,0.0,0,0,1247.23999,1247.790039
BUY,940.66521923644689,0,0.75088023886365751,0,0.00059938554289655358,1247.790039,1252.75
None,0,0,0.0,0.75088023886365751,0.75088023886365751,1252.75,1249.780029
None,0,0,0.0,0.75088023886365751,0.75088023886365751,1249.780029,1260.2700199999999
SELL,0,956.75662330282796,956.75662330282796,0.75088023886365751,0,1260.2700199999999,1274.1800539999999
BUY,956.75662330282796,0,0.7489288636421354,0,0.00058624568582554631,1274.1800539999999,1277.5
SELL,0,953.6111587730453,953.6111587730453,0.7489288636421354,0,1277.5,1273.3000489999999
BUY,953.6111587730453,0,0.74879950357831471,0,0.00058797623266127743,1273.3000489999999,1273.5200199999999
None,0,0,0.0,0.74879950357831471,0.74879950357831471,1273.5200199999999,1278.0500489999999
None,0,0,0.0,0.74879950357831471,0.74879950357831471,1278.0500489999999,1285.339966
None,0,0,0.0,0.74879950357831471,0.74879950357831471,1285.339966,1304.880005
SELL,0,980.70267314534317,980.70267314534317,0.74879950357831471,0,1304.880005,1309.6999510000001
None,980.70267314534317,980.70267314534317,0.0,0,0,1309.6999510000001,1303.76001
BUY,980.70267314534317,0,0.75630071692288259,0,0.00058324586042327975,1303.76001,1296.709961
SELL,0,984.68082247936468,984.68082247936468,0.75630071692288259,0,1296.709961,1301.969971
None,984.68082247936468,984.68082247936468,0.0,0,0,1301.969971,1301.5200199999999
None,984.68082247936468,984.68082247936468,0.0,0,0,1301.5200199999999,1302.9799800000001
BUY,984.68082247936468,0,0.75409395197555484,0,0.00057750458364190136,1302.9799800000001,1305.780029
None,0,0,0.0,0.75409395197555484,0.75409395197555484,1305.780029,1315.410034
SELL,0,988.56442518438746,988.56442518438746,0.75409395197555484,0,1315.410034,1310.9300539999999
None,988.56442518438746,988.56442518438746,0.0,0,0,1310.9300539999999,1315.3000489999999
None,988.56442518438746,988.56442518438746,0.0,0,0,1315.3000489999999,1320.5600589999999
BUY,988.56442518438746,0,0.74480471609988153,0,0.0005611511510958488,1320.5600589999999,1327.280029
SELL,0,980.47585713961348,980.47585713961348,0.74480471609988153,0,1327.280029,1316.420044
BUY,980.47585713961348,0,0.74366364871800661,0,0.00056404817966448917,1316.420044,1318.4399410000001
None,0,0,0.0,0.74366364871800661,0.74366364871800661,1318.4399410000001,1313.839966
None,0,0,0.0,0.74366364871800661,0.74366364871800661,1313.839966,1306.339966
None,0,0,0.0,0.74366364871800661,0.74366364871800661,1306.339966,1290.099976
None,0,0,0.0,0.74366364871800661,0.74366364871800661,1290.099976,1300.959961
SELL,0,965.56545601392725,965.56545601392725,0.74366364871800661,0,1300.959961,1298.3900149999999
None,965.56545601392725,965.56545601392725,0.0,0,0,1298.3900149999999,1304.7700199999999
BUY,965.56545601392725,0,0.74424259067714493,0,0.00057365042455478953,1304.7700199999999,1297.380005
None,0,0,0.0,0.74424259067714493,0.74424259067714493,1297.380005,1299.7299800000001
None,0,0,0.0,0.74424259067714493,0.74424259067714493,1299.7299800000001,1324.4799800000001
SELL,0,982.81703945492325,982.81703945492325,0.74424259067714493,0,1324.4799800000001,1320.5600589999999
None,982.81703945492325,982.81703945492325,0.0,0,0,1320.5600589999999,1323.030029
BUY,982.81703945492325,0,0.74241544908439416,0,0.00056081719883984825,1323.030029,1323.8100589999999
None,0,0,0.0,0.74241544908439416,0.74241544908439416,1323.8100589999999,1332.209961
SELL,0,991.46610668004257,991.46610668004257,0.74241544908439416,0,1332.209961,1335.459961
BUY,991.46610668004257,0,0.7414826387347645,0,0.00055452879310830027,1335.459961,1337.1400149999999
None,0,0,0.0,0.7414826387347645,0.7414826387347645,1337.1400149999999,1334.01001
SELL,0,983.49516831364383,983.49516831364383,0.7414826387347645,0,1334.01001,1326.3900149999999
BUY,983.49516831364383,0,0.73700416233418098,0,0.00055229059867092836,1326.3900149999999,1334.4499510000001
SELL,0,979.0437243444909,979.0437243444909,0.73700416233418098,0,1334.4499510000001,1328.410034
BUY,979.0437243444909,0,0.74062810566765913,0,0.00056027118837019064,1328.410034,1321.910034
SELL,0,987.17580687278769,987.17580687278769,0.74062810566765913,0,1321.910034,1332.8900149999999
BUY,987.17580687278769,0,0.73796504674671071,0,0.00055166709559572279,1332.8900149999999,1337.6999510000001
SELL,0,987.8399938639858,987.8399938639858,0.73796504674671071,0,1337.6999510000001,1338.599976
BUY,987.8399938639858,0,0.73970019522283958,0,0.00055389170534843129,1338.599976,1335.459961
SELL,0,997.03450723441608,997.03450723441608,0.73970019522283958,0,1335.459961,1347.8900149999999
BUY,997.03450723441608,0,0.73420953962642233,0,0.00054066699213220113,1347.8900149999999,1357.969971
None,0,0,0.0,0.73420953962642233,0.73420953962642233,1357.969971,1350.920044
None,0,0,0.0,0.73420953962642233,0.73420953962642233,1350.920044,1359.540039
None,0,0,0.0,0.73420953962642233,0.73420953962642233,1359.540039,1357.6400149999999
SELL,0,992.51184108075677,992.51184108075677,0.73420953962642233,0,1357.6400149999999,1351.8100589999999
BUY,992.51184108075677,0,0.73579347870243406,0,0.00054547665921194624,1351.8100589999999,1348.900024
SELL,0,995.97739966949962,995.97739966949962,0.73579347870243406,0,1348.900024,1353.6099850000001
BUY,995.97739966949962,0,0.73391209947949421,0,0.00054080240168214095,1353.6099850000001,1357.079956
None,0,0,0.0,0.73391209947949421,0.73391209947949421,1357.079956,1343.8599850000001
SELL,0,987.91905949545674,987.91905949545674,0.73391209947949421,0,1343.8599850000001,1346.099976
None,987.91905949545674,987.91905949545674,0.0,0,0,1346.099976,1347.4499510000001
None,987.91905949545674,987.91905949545674,0.0,0,0,1347.4499510000001,1355.619995
BUY,987.91905949545674,0,0.73014228869478925,0,0.00053962696297481108,1355.619995,1353.0500489999999
None,0,0,0.0,0.73014228869478925,0.73014228869478925,1353.0500489999999,1346.8900149999999
None,0,0,0.0,0.73014228869478925,0.73014228869478925,1346.8900149999999,1325.160034
None,0,0,0.0,0.73014228869478925,0.73014228869478925,1325.160034,1325.040039
SELL,0,970.98701309151818,970.98701309151818,0.73014228869478925,0,1325.040039,1329.8599850000001
None,970.98701309151818,970.98701309151818,0.0,0,0,1329.8599850000001,1320.790039
None,970.98701309151818,970.98701309151818,0.0,0,0,1320.790039,1314.290039
BUY,970.98701309151818,0,0.73822472205466949,0,0.00056125955641522947,1314.290039,1315.3000489999999
None,0,0,0.0,0.73822472205466949,0.73822472205466949,1315.3000489999999,1316.9799800000001
SELL,0,972.80301711700849,972.80301711700849,0.73822472205466949,0,1316.9799800000001,1317.76001
BUY,972.80301711700849,0,0.74105905189813592,0,0.00056452180835918429,1317.76001,1312.719971
SELL,0,972.64000561630337,972.64000561630337,0.74105905189813592,0,1312.719971,1312.5
None,972.64000561630337,972.64000561630337,0.0,0,0,1312.5,1323.6999510000001
None,972.64000561630337,972.64000561630337,0.0,0,0,1323.6999510000001,1329.530029
BUY,972.64000561630337,0,0.73791064663239425,0,0.000559829041854405,1329.530029,1318.099976
SELL,0,972.80232382124314,972.80232382124314,0.73791064663239425,0,1318.099976,1318.3199460000001
BUY,972.80232382124314,0,0.73828581649328995,0,0.00056030493913100698,1318.3199460000001,1317.650024
None,0,0,0.0,0.73828581649328995,0.73828581649328995,1317.650024,1322.469971
None,0,0,0.0,0.73828581649328995,0.73828581649328995,1322.469971,1331.089966
None,0,0,0.0,0.73828581649328995,0.73828581649328995,1331.089966,1335.130005
SELL,0,984.88066944307184,984.88066944307184,0.73828581649328995,0,1335.130005,1334.01001
None,984.88066944307184,984.88066944307184,0.0,0,0,1334.01001,1329.1899410000001
BUY,984.88066944307184,0,0.74234253721282972,0,0.00055953219476548429,1329.1899410000001,1326.719971
SELL,0,984.21997344981446,984.21997344981446,0.74234253721282972,0,1326.719971,1325.829956
None,984.21997344981446,984.21997344981446,0.0,0,0,1325.829956,1335.6899410000001
BUY,984.21997344981446,0,0.73489285861100251,0,0.00054872643129202773,1335.6899410000001,1339.2700199999999
None,0,0,0.0,0.73489285861100251,0.73489285861100251,1339.2700199999999,1333.4499510000001
SELL,0,969.64699000702251,969.64699000702251,0.73489285861100251,0,1333.4499510000001,1319.4399410000001
BUY,969.64699000702251,0,0.73884057248562851,0,0.00056297332655767622,1319.4399410000001,1312.3900149999999
SELL,0,966.16707972539757,966.16707972539757,0.73884057248562851,0,1312.3900149999999,1307.6800539999999
BUY,966.16707972539757,0,0.73801661293303111,0,0.0005637415436675283,1307.6800539999999,1309.1400149999999
None,0,0,0.0,0.73801661293303111,0.73801661293303111,1309.1400149999999,1298.160034
None,0,0,0.0,0.73801661293303111,0.73801661293303111,1298.160034,1300.400024
None,0,0,0.0,0.73801661293303111,0.73801661293303111,1300.400024,1306.790039
SELL,0,957.90123904731831,957.90123904731831,0.73801661293303111,0,1306.790039,1297.9399410000001
BUY,957.90123904731831,0,0.72771702419036088,0,0.00055284620763530984,1297.9399410000001,1316.3100589999999
None,0,0,0.0,0.72771702419036088,0.72771702419036088,1316.3100589999999,1321.119995
None,0,0,0.0,0.72771702419036088,0.72771702419036088,1321.119995,1312.0500489999999
SELL,0,961.16139676135072,961.16139676135072,0.72771702419036088,0,1312.0500489999999,1320.790039
BUY,961.16139676135072,0,0.72342291920567514,0,0.00054448786831791829,1320.790039,1328.630005
SELL,0,970.07392806112705,970.07392806112705,0.72342291920567514,0,1328.630005,1340.9499510000001
BUY,970.07392806112705,0,0.72737176067300724,0,0.00054539109125630719,1340.9499510000001,1333.670044
None,0,0,0.0,0.72737176067300724,0.72737176067300724,1333.670044,1333.1099850000001
SELL,0,966.48794600293411,966.48794600293411,0.72737176067300724,0,1333.1099850000001,1328.73999
None,966.48794600293411,966.48794600293411,0.0,0,0,1328.73999,1324.369995
BUY,966.48794600293411,0,0.72915522055578408,0,0.00055010239689232512,1324.369995,1325.48999
None,0,0,0.0,0.72915522055578408,0.72915522055578408,1325.48999,1326.719971
SELL,0,968.36913438913825,968.36913438913825,0.72915522055578408,0,1326.719971,1328.0699460000001
None,968.36913438913825,968.36913438913825,0.0,0,0,1328.0699460000001,1339.9399410000001
BUY,968.36913438913825,0,0.7148060120357993,0,0.0005276372580429638,1339.9399410000001,1354.7299800000001
None,0,0,0.0,0.7148060120357993,0.7148060120357993,1354.7299800000001,1350.8100589999999
None,0,0,0.0,0.7148060120357993,0.7148060120357993,1350.8100589999999,1368.5
None,0,0,0.0,0.7148060120357993,0.7148060120357993,1368.5,1369.290039
SELL,0,978.45503721167916,978.45503721167916,0.7148060120357993,0,1369.290039,1368.839966
None,978.45503721167916,978.45503721167916,0.0,0,0,1368.839966,1364.1400149999999
BUY,978.45503721167916,0,0.71715313258155922,0,0.00052563336690174126,1364.1400149999999,1364.3599850000001
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1364.3599850000001,1367.160034
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1367.160034,1362.339966
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1362.339966,1356.5200199999999
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1356.5200199999999,1359.98999
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1359.98999,1368.7299800000001
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1368.7299800000001,1375.5699460000001
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1375.5699460000001,1374.3100589999999
None,0,0,0.0,0.71715313258155922,0.71715313258155922,1374.3100589999999,1390.25
SELL,0,996.61340401221037,996.61340401221037,0.71715313258155922,0,1390.25,1389.6800539999999
BUY,996.61340401221037,0,0.7135639575672108,0,0.00051090374611572243,1389.6800539999999,1396.670044
